test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
ILoveDotNetPerformanceTest,Get_WeatherForecast_Requests,get_weather_forecast,00:00:30,global information,4348,4348,0,144.9,0.17,0.69,66.85,0.61,0.68,0.94,2.22,1.44,0.431,0.445,0.465,1.9
ILoveDotNetPerformanceTest,Get_WeatherForecast_Requests,get_weather_forecast_with_auth,00:00:30,global information,4348,4348,0,144.9,0.18,0.71,66.89,0.62,0.69,0.99,3.11,1.48,1.114,1.127,1.146,4.8
