test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
ILoveDotNetPerformanceTest,Get_WeatherForecast_Requests,get_weather_forecast,00:00:30,global information,4350,4347,3,144.9,0.16,928.16,8375.14,0.59,0.72,8077.31,8302.59,2542.21,0.431,0.445,0.463,1.9
ILoveDotNetPerformanceTest,Get_WeatherForecast_Requests,get_weather_forecast_with_auth,00:00:30,global information,4350,4350,0,145,0.18,933.25,8385.24,0.58,0.69,8089.6,8286.21,2547.55,1.112,1.127,1.146,4.8
