test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
ILoveDotNetPerformanceTest,Get_WeatherForecast_Requests,get_weather_forecast,00:00:30,global information,4350,4350,0,145,0.2,0.59,30.1,0.5,0.62,0.84,3.3,0.82,0.431,0.445,0.464,1.9
ILoveDotNetPerformanceTest,Get_WeatherForecast_Requests,get_weather_forecast_with_auth,00:00:30,global information,4350,4350,0,145,0.21,0.59,30.09,0.5,0.63,0.84,3,0.75,1.113,1.127,1.145,4.8
